,hot100
803,1.0
926,1.0
16878,1.0
5406,1.0
6860,1.0
5260,1.0
15827,1.0
10191,1.0
9757,1.0
2876,1.0
1582,1.0
6694,1.0
16552,1.0
924,1.0
931,1.0
8801,1.0
9748,1.0
10629,1.0
7658,1.0
13860,1.0
5266,1.0
10217,1.0
6641,1.0
11896,1.0
3071,1.0
6499,1.0
15378,1.0
6351,1.0
6522,1.0
562,1.0
8018,1.0
14772,1.0
8176,1.0
1344,1.0
7388,1.0
13860,1.0
469,1.0
3244,1.0
7658,1.0
13135,1.0
7486,1.0
10165,1.0
7371,1.0
10370,1.0
10210,1.0
15708,1.0
5543,1.0
6582,1.0
13811,1.0
16680,1.0
14679,1.0
1525,1.0
10050,1.0
16643,1.0
15860,1.0
13376,1.0
10075,1.0
16285,1.0
1525,1.0
13349,1.0
16885,1.0
15022,1.0
15029,1.0
2932,1.0
16053,1.0
3212,1.0
5726,1.0
8379,1.0
15876,1.0
14575,1.0
10072,1.0
8654,1.0
15517,1.0
14574,1.0
16043,1.0
15516,1.0
16536,1.0
8329,1.0
1853,1.0
1361,1.0
8729,1.0
5690,1.0
11488,1.0
11480,1.0
11811,1.0
9766,1.0
615,1.0
13376,1.0
615,1.0
14996,1.0
15133,1.0
11448,1.0
13051,1.0
5062,1.0
15946,1.0
1628,1.0
3204,1.0
11564,1.0
16285,1.0
14589,1.0
910,1.0
7863,1.0
6153,1.0
14624,1.0
11385,1.0
12265,1.0
13140,1.0
4212,1.0
12250,1.0
10050,1.0
562,1.0
11976,1.0
6628,1.0
978,1.0
6519,1.0
8611,1.0
6153,1.0
8885,1.0
1355,1.0
3590,1.0
6712,1.0
11884,1.0
474,1.0
3704,1.0
12182,1.0
15560,1.0
11871,1.0
5062,1.0
16743,1.0
8862,1.0
1527,1.0
10352,1.0
13349,1.0
11401,1.0
8821,1.0
803,1.0
931,1.0
5726,1.0
8073,1.0
7648,1.0
11976,1.0
10565,1.0
14687,1.0
6761,1.0
15020,1.0
3289,1.0
1685,1.0
12930,1.0
15858,1.0
16407,1.0
5380,1.0
469,1.0
2132,1.0
10533,1.0
11871,1.0
9360,1.0
1628,1.0
5655,1.0
16535,1.0
6422,1.0
6694,1.0
5406,1.0
15022,1.0
2876,1.0
3321,1.0
2796,1.0
11469,1.0
931,1.0
629,1.0
8371,1.0
15560,1.0
16689,1.0
9049,1.0
14611,1.0
9742,1.0
16685,1.0
6424,1.0
7388,1.0
6406,1.0
1348,1.0
16638,1.0
14492,1.0
2172,1.0
4991,1.0
5738,1.0
14724,1.0
8797,1.0
5736,1.0
17025,1.0
9753,1.0
14763,1.0
8594,1.0
15894,1.0
10155,1.0
13339,1.0
14608,1.0
17016,1.0
7352,1.0
16885,1.0
3224,1.0
6137,1.0
10629,1.0
14522,1.0
11896,1.0
9963,1.0
16285,1.0
8254,1.0
6761,1.0
5260,1.0
8778,1.0
12533,1.0
3204,1.0
11448,1.0
1425,1.0
8816,1.0
14006,1.0
16581,1.0
14458,1.0
8327,1.0
15774,1.0
9661,1.0
11374,1.0
14996,1.0
5736,1.0
788,1.0
5655,1.0
12891,1.0
